,random_forest,xgboost,catboost,mlp
random_forest,1.0,0.037109375,0.00390625,0.232421875
xgboost,0.037109375,1.0,0.02734375,0.76953125
catboost,0.00390625,0.02734375,1.0,0.845703125
mlp,0.232421875,0.76953125,0.845703125,1.0
