,random_forest,xgboost,catboost,mlp
random_forest,1.0,0.556640625,0.037109375,0.76953125
xgboost,0.556640625,1.0,0.02734375,0.6953125
catboost,0.037109375,0.02734375,1.0,0.10546875
mlp,0.76953125,0.6953125,0.10546875,1.0
